custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Latin America and Caribbean,2020-01-01,655119303,4.450178035757445e-4,0.0012599344073968852,0.0011028828264621426,4.8821120020657913e-4,-2.7060667845688394e-4,-0.0015934945417108433,-0.002721131752708793,0,0,0
Asia,2020-01-01,4666863690,-0.009941600730738777,-0.008729036029828876,-0.009721791156857168,-0.009941600730738777,-0.021407022826470133,-0.02509518744132011,-0.025969446063864175,-1.0593412228583376,-0.021619208629761993,0
Oceania,2020-01-01,44446737,-0.002018619941914428,0.0266654024484266,0.023970309327680378,0.01154762128190779,-0.009239950992458648,-0.029478174967141287,-0.03286323583009549,0,0,0
European Union,2020-01-01,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-01,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,655119303,8.679305920640383e-4,0.002510862304939778,0.002070432087986173,9.680892958965897e-4,-3.025511217168495e-4,-0.0018742333245170752,-0.003219457097984986,0,0,0
Asia,2020-01-06,4666863690,-0.010033594945801227,-0.0077856077407648695,-0.009872268204612011,-0.010033594945801227,-0.021289845175605882,-0.02506698601233324,-0.02602149474591962,-1.0593412228583376,-0.021619208629761993,0
Oceania,2020-01-06,44446737,-0.0022284668677175407,0.026174836379407356,0.024249059851076053,0.01096274952442593,-0.00877435764950433,-0.02930695713809012,-0.03267885920197195,0,0,0
European Union,2020-01-06,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-06,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,655119303,9.092858975307613e-4,0.00186784567793456,0.001290351959976089,9.092858975307613e-4,-3.172022600470505e-4,-0.0017317431005434117,-0.00245908839351381,0,0,0
Asia,2020-01-13,4666863690,-0.01532569018075824,-0.01136451052152364,-0.01379309961216144,-0.01532569018075824,-0.026676238777845824,-0.03011324330864276,-0.03169318252300827,-1.3196830924737457,-0.026932308009668275,0
Oceania,2020-01-13,44446737,-0.002146678919742687,0.026421554817438162,0.024048589172998416,0.010943788181870707,-0.008664782473608322,-0.02930469264118163,-0.032678435526337604,0,0,0
European Union,2020-01-13,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-13,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,655119303,8.725716280095927e-4,0.0028487725239674535,0.00202572404359445,0.001265420289260479,-2.994743272972518e-4,-0.0027259162080537163,-0.003964968313859323,0,0,0
Asia,2020-01-20,4666863690,-0.02154419935662916,8.219617982093373e-4,-0.0018360851448830883,-0.01356844996422955,-0.031029193906495715,-0.04683245304335668,-0.048510992504071045,-1.6303817893077635,-0.03327309774097477,0
Oceania,2020-01-20,44446737,-0.0024621066665278953,0.0306115260683146,0.02548930062848909,0.00680572705009086,-0.01075143603443907,-0.028623933584763218,-0.03642928054394635,0,0,0
European Union,2020-01-20,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-20,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,655119303,-0.015072315817746205,-0.012288615708705963,-0.01354142690547976,-0.014483378764736082,-0.01598434625924969,-0.018564469719728277,-0.01858937815204776,-0.7705278955002837,-0.016052664489589245,0
Asia,2020-01-27,4666863690,-0.005531149026589577,0.017644372586555983,0.01685352279185385,0.0055775733304359925,-0.013400541189597558,-0.03303095752402259,-0.036831195477367976,-0.9127906922044978,-0.018628381473561183,2.785596679812176e-4
Oceania,2020-01-27,44446737,4.7400391491870945e-4,0.036026326877668644,0.03119872930135549,0.014069521597397223,-0.0084164284088158,-0.029484012633152132,-0.03494975365840436,0.06752167492168788,0.0029357249965951252,0
